alert_type,severity,detected_at,details
WASH_TRADE,CRITICAL,2026-04-02T08:16:27.290182,Trader UNKNOWN (Binance public data) | BTCUSDT | Price 66961.05 | Qty 143.60334
WASH_TRADE,CRITICAL,2026-04-02T08:16:27.290209,Trader UNKNOWN (Binance public data) | BTCUSDT | Price 66961.05 | Qty 143.5845
WASH_TRADE,CRITICAL,2026-04-02T08:16:27.290234,Trader UNKNOWN (Binance public data) | BTCUSDT | Price nan | Qty 143.58338
WASH_TRADE,CRITICAL,2026-04-02T08:16:27.290262,Trader UNKNOWN (Binance public data) | BTCUSDT | Price 66961.06 | Qty 143.66278
WASH_TRADE,CRITICAL,2026-04-02T08:16:27.290297,Trader UNKNOWN (Binance public data) | BTCUSDT | Price 66957.3 | Qty 144.13012
WASH_TRADE,CRITICAL,2026-04-02T08:16:27.290322,Trader UNKNOWN (Binance public data) | BTCUSDT | Price 66953.22 | Qty 144.13461
WASH_TRADE,CRITICAL,2026-04-02T08:16:27.290370,Trader UNKNOWN (Binance public data) | BTCUSDT | Price nan | Qty 144.12251
WASH_TRADE,CRITICAL,2026-04-02T08:16:27.290396,Trader UNKNOWN (Binance public data) | BTCUSDT | Price nan | Qty 144.04754
WASH_TRADE,CRITICAL,2026-04-02T08:16:27.290422,Trader UNKNOWN (Binance public data) | BTCUSDT | Price 66954.68 | Qty 144.13168
WASH_TRADE,CRITICAL,2026-04-02T08:16:27.290454,Trader UNKNOWN (Binance public data) | BTCUSDT | Price 66960.11 | Qty 144.0372
WASH_TRADE,CRITICAL,2026-04-02T08:16:27.290481,Trader UNKNOWN (Binance public data) | BTCUSDT | Price 66960.1 | Qty 143.92036
WASH_TRADE,CRITICAL,2026-04-02T08:16:27.290506,Trader UNKNOWN (Binance public data) | BTCUSDT | Price 66957.93 | Qty 144.00584
WASH_TRADE,CRITICAL,2026-04-02T08:16:27.290535,Trader UNKNOWN (Binance public data) | BTCUSDT | Price 66955.68 | Qty 143.99965
WASH_TRADE,CRITICAL,2026-04-02T08:16:27.290561,Trader UNKNOWN (Binance public data) | BTCUSDT | Price 66955.67 | Qty 144.01494
WASH_TRADE,CRITICAL,2026-04-02T08:16:27.290587,Trader UNKNOWN (Binance public data) | BTCUSDT | Price 66955.67 | Qty 144.00193
WASH_TRADE,CRITICAL,2026-04-02T08:16:27.290614,Trader UNKNOWN (Binance public data) | BTCUSDT | Price 66955.68 | Qty 143.89853
WASH_TRADE,CRITICAL,2026-04-02T08:16:27.290648,Trader UNKNOWN (Binance public data) | BTCUSDT | Price nan | Qty 143.79665
WASH_TRADE,CRITICAL,2026-04-02T08:16:27.290674,Trader UNKNOWN (Binance public data) | BTCUSDT | Price 66955.67 | Qty 143.77291
WASH_TRADE,CRITICAL,2026-04-02T08:16:27.290701,Trader UNKNOWN (Binance public data) | BTCUSDT | Price 66955.68 | Qty 143.76439
WASH_TRADE,CRITICAL,2026-04-02T08:16:27.290726,Trader UNKNOWN (Binance public data) | BTCUSDT | Price 66955.68 | Qty 144.25994
WASH_TRADE,CRITICAL,2026-04-02T08:16:27.290752,Trader UNKNOWN (Binance public data) | BTCUSDT | Price nan | Qty 144.24482
WASH_TRADE,CRITICAL,2026-04-02T08:16:27.290779,Trader UNKNOWN (Binance public data) | BTCUSDT | Price 66955.68 | Qty 144.34482
WASH_TRADE,CRITICAL,2026-04-02T08:16:27.290806,Trader UNKNOWN (Binance public data) | BTCUSDT | Price 66955.67 | Qty 144.34731
WASH_TRADE,CRITICAL,2026-04-02T08:16:27.290832,Trader UNKNOWN (Binance public data) | BTCUSDT | Price 66950.39 | Qty 144.39194
WASH_TRADE,CRITICAL,2026-04-02T08:16:27.290858,Trader UNKNOWN (Binance public data) | BTCUSDT | Price 66947.83 | Qty 144.55324
WASH_TRADE,CRITICAL,2026-04-02T08:16:27.290884,Trader UNKNOWN (Binance public data) | BTCUSDT | Price 66947.83 | Qty 144.51783
WASH_TRADE,CRITICAL,2026-04-02T08:16:27.290916,Trader UNKNOWN (Binance public data) | BTCUSDT | Price 66947.83 | Qty 144.51412
WASH_TRADE,CRITICAL,2026-04-02T08:16:27.290942,Trader UNKNOWN (Binance public data) | BTCUSDT | Price 66947.83 | Qty 144.6834
WASH_TRADE,CRITICAL,2026-04-02T08:16:27.290968,Trader UNKNOWN (Binance public data) | BTCUSDT | Price 66947.82 | Qty 144.66608
WASH_TRADE,CRITICAL,2026-04-02T08:16:27.290994,Trader UNKNOWN (Binance public data) | BTCUSDT | Price 66947.83 | Qty 144.24392
WASH_TRADE,CRITICAL,2026-04-02T08:16:27.291036,Trader UNKNOWN (Binance public data) | BTCUSDT | Price 66947.83 | Qty 144.12088
WASH_TRADE,CRITICAL,2026-04-02T08:16:27.291070,Trader UNKNOWN (Binance public data) | BTCUSDT | Price 66947.83 | Qty 144.154
WASH_TRADE,HIGH,2026-04-02T08:16:27.291096,Trader UNKNOWN (Binance public data) | BTCUSDT | Price 66947.83 | Qty 96.93072
WASH_TRADE,HIGH,2026-04-02T08:16:27.291123,Trader UNKNOWN (Binance public data) | BTCUSDT | Price 66705.18 | Qty 90.46831
WASH_TRADE,HIGH,2026-04-02T08:16:27.291154,Trader UNKNOWN (Binance public data) | BTCUSDT | Price 66695.31 | Qty 90.30106
WASH_TRADE,HIGH,2026-04-02T08:16:27.291179,Trader UNKNOWN (Binance public data) | BTCUSDT | Price 66702.68 | Qty 90.66028
WASH_TRADE,HIGH,2026-04-02T08:16:27.291205,Trader UNKNOWN (Binance public data) | BTCUSDT | Price 66725.21 | Qty 92.56225
WASH_TRADE,HIGH,2026-04-02T08:16:27.291231,Trader UNKNOWN (Binance public data) | BTCUSDT | Price 66722.28 | Qty 92.69821
WASH_TRADE,HIGH,2026-04-02T08:16:27.291256,Trader UNKNOWN (Binance public data) | BTCUSDT | Price 66713.15 | Qty 92.7987
WASH_TRADE,HIGH,2026-04-02T08:16:27.291282,Trader UNKNOWN (Binance public data) | BTCUSDT | Price 66706.0 | Qty 93.05137
WASH_TRADE,HIGH,2026-04-02T08:16:27.291307,Trader UNKNOWN (Binance public data) | BTCUSDT | Price 66701.97 | Qty 93.06129
WASH_TRADE,HIGH,2026-04-02T08:16:27.291339,Trader UNKNOWN (Binance public data) | BTCUSDT | Price 66701.66 | Qty 93.15354
WASH_TRADE,HIGH,2026-04-02T08:16:27.291366,Trader UNKNOWN (Binance public data) | BTCUSDT | Price 66700.93 | Qty 93.21328
WASH_TRADE,HIGH,2026-04-02T08:16:27.291393,Trader UNKNOWN (Binance public data) | BTCUSDT | Price 66701.4 | Qty 93.7339
WASH_TRADE,HIGH,2026-04-02T08:16:27.291419,Trader UNKNOWN (Binance public data) | BTCUSDT | Price 66711.03 | Qty 93.80382
WASH_TRADE,HIGH,2026-04-02T08:16:27.291445,Trader UNKNOWN (Binance public data) | BTCUSDT | Price 66721.64 | Qty 93.92938
WASH_TRADE,HIGH,2026-04-02T08:16:27.291470,Trader UNKNOWN (Binance public data) | BTCUSDT | Price 66731.96 | Qty 93.50188
WASH_TRADE,HIGH,2026-04-02T08:16:27.291496,Trader UNKNOWN (Binance public data) | BTCUSDT | Price 66733.65 | Qty 94.80504
WASH_TRADE,HIGH,2026-04-02T08:16:27.291521,Trader UNKNOWN (Binance public data) | BTCUSDT | Price 66725.8 | Qty 93.71921
WASH_TRADE,HIGH,2026-04-02T08:16:27.291546,Trader UNKNOWN (Binance public data) | BTCUSDT | Price 66725.81 | Qty 93.42834
WASH_TRADE,HIGH,2026-04-02T08:16:27.291589,Trader UNKNOWN (Binance public data) | BTCUSDT | Price 66732.0 | Qty 93.23868
WASH_TRADE,HIGH,2026-04-02T08:16:27.291614,Trader UNKNOWN (Binance public data) | BTCUSDT | Price 66740.68 | Qty 92.71047
WASH_TRADE,HIGH,2026-04-02T08:16:27.291648,Trader UNKNOWN (Binance public data) | BTCUSDT | Price 66747.83 | Qty 92.71874
WASH_TRADE,HIGH,2026-04-02T08:16:27.291673,Trader UNKNOWN (Binance public data) | BTCUSDT | Price 66745.61 | Qty 90.48184
WASH_TRADE,HIGH,2026-04-02T08:16:27.298184,Trader UNKNOWN (Binance public data) | ETHUSDT | Price 2071.65 | Qty 2505.2681
WASH_TRADE,HIGH,2026-04-02T08:16:27.298227,Trader UNKNOWN (Binance public data) | ETHUSDT | Price 2072.02 | Qty 2511.671
WASH_TRADE,HIGH,2026-04-02T08:16:27.298259,Trader UNKNOWN (Binance public data) | ETHUSDT | Price 2071.66 | Qty 2513.921
WASH_TRADE,HIGH,2026-04-02T08:16:27.298289,Trader UNKNOWN (Binance public data) | ETHUSDT | Price 2071.54 | Qty 2570.0264
WASH_TRADE,HIGH,2026-04-02T08:16:27.298319,Trader UNKNOWN (Binance public data) | ETHUSDT | Price 2071.13 | Qty 2571.9574
WASH_TRADE,HIGH,2026-04-02T08:16:27.298535,Trader UNKNOWN (Binance public data) | ETHUSDT | Price 2071.14 | Qty 2602.9957
WASH_TRADE,HIGH,2026-04-02T08:16:27.298582,Trader UNKNOWN (Binance public data) | ETHUSDT | Price 2071.03 | Qty 2633.9166
WASH_TRADE,HIGH,2026-04-02T08:16:27.298612,Trader UNKNOWN (Binance public data) | ETHUSDT | Price 2071.84 | Qty 2663.5741
WASH_TRADE,HIGH,2026-04-02T08:16:27.298660,Trader UNKNOWN (Binance public data) | ETHUSDT | Price 2072.52 | Qty 2689.1919
WASH_TRADE,HIGH,2026-04-02T08:16:27.298687,Trader UNKNOWN (Binance public data) | ETHUSDT | Price 2072.29 | Qty 2701.6475
WASH_TRADE,HIGH,2026-04-02T08:16:27.298713,Trader UNKNOWN (Binance public data) | ETHUSDT | Price 2072.4 | Qty 2706.1081
WASH_TRADE,HIGH,2026-04-02T08:16:27.298739,Trader UNKNOWN (Binance public data) | ETHUSDT | Price 2071.53 | Qty 2755.3347
WASH_TRADE,HIGH,2026-04-02T08:16:27.298767,Trader UNKNOWN (Binance public data) | ETHUSDT | Price 2070.65 | Qty 2757.0161
WASH_TRADE,HIGH,2026-04-02T08:16:27.298793,Trader UNKNOWN (Binance public data) | ETHUSDT | Price 2070.92 | Qty 2781.6282
WASH_TRADE,HIGH,2026-04-02T08:16:27.298819,Trader UNKNOWN (Binance public data) | ETHUSDT | Price 2071.19 | Qty 2793.6658
WASH_TRADE,HIGH,2026-04-02T08:16:27.298845,Trader UNKNOWN (Binance public data) | ETHUSDT | Price 2070.79 | Qty 2830.4709
WASH_TRADE,HIGH,2026-04-02T08:16:27.298872,Trader UNKNOWN (Binance public data) | ETHUSDT | Price 2069.1 | Qty 3218.1554
WASH_TRADE,HIGH,2026-04-02T08:16:27.298899,Trader UNKNOWN (Binance public data) | ETHUSDT | Price 2069.08 | Qty 3243.7646
WASH_TRADE,CRITICAL,2026-04-02T08:16:27.298928,Trader UNKNOWN (Binance public data) | ETHUSDT | Price 2068.72 | Qty 3368.9336
WASH_TRADE,CRITICAL,2026-04-02T08:16:27.298954,Trader UNKNOWN (Binance public data) | ETHUSDT | Price 2069.36 | Qty 3423.3573
WASH_TRADE,CRITICAL,2026-04-02T08:16:27.298987,Trader UNKNOWN (Binance public data) | ETHUSDT | Price 2069.9 | Qty 3439.4325
WASH_TRADE,CRITICAL,2026-04-02T08:16:27.299017,Trader UNKNOWN (Binance public data) | ETHUSDT | Price 2068.87 | Qty 3553.3264
WASH_TRADE,CRITICAL,2026-04-02T08:16:27.299044,Trader UNKNOWN (Binance public data) | ETHUSDT | Price 2067.93 | Qty 3572.7313
WASH_TRADE,CRITICAL,2026-04-02T08:16:27.299070,Trader UNKNOWN (Binance public data) | ETHUSDT | Price 2068.16 | Qty 3812.1301
WASH_TRADE,CRITICAL,2026-04-02T08:16:27.299096,Trader UNKNOWN (Binance public data) | ETHUSDT | Price 2068.01 | Qty 3851.7335
WASH_TRADE,CRITICAL,2026-04-02T08:16:27.299122,Trader UNKNOWN (Binance public data) | ETHUSDT | Price 2067.96 | Qty 3858.7128
WASH_TRADE,CRITICAL,2026-04-02T08:16:27.299148,Trader UNKNOWN (Binance public data) | ETHUSDT | Price 2068.02 | Qty 3864.1124
